#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2023 11 15 03 18 330  2.6  2.6    MM    MM    MM  MM 1027.6   8.7  13.7    MM   MM   MM    MM
2023 11 15 03 12 330  1.5  2.1    MM    MM    MM  MM 1027.6   8.7  13.7    MM   MM   MM    MM
2023 11 15 03 06 340  1.5  1.5    MM    MM    MM  MM 1027.6   8.7  13.7    MM   MM   MM    MM
2023 11 15 03 00 330  2.1  2.6    MM    MM    MM  MM 1027.5   9.1  13.6    MM   MM +0.6    MM
2023 11 15 02 54 360  2.1  2.6    MM    MM    MM  MM 1027.5   9.7  13.6    MM   MM   MM    MM
2023 11 15 02 48 340  1.5  2.6    MM    MM    MM  MM 1027.6   9.7  13.6    MM   MM   MM    MM
2023 11 15 02 42 360  1.5  2.1    MM    MM    MM  MM 1027.6   9.8  13.6    MM   MM   MM    MM
2023 11 15 02 36 350  1.0  1.5    MM    MM    MM  MM 1027.5   9.4  13.6    MM   MM   MM    MM
2023 11 15 02 30 340  1.0  1.5    MM    MM    MM  MM 1027.5   9.4  13.6    MM   MM   MM    MM
2023 11 15 02 24 320  1.0  1.0    MM    MM    MM  MM 1027.6   9.6  13.6    MM   MM   MM    MM
2023 11 15 02 18 360  1.5  2.1    MM    MM    MM  MM 1027.6   9.7  13.6    MM   MM   MM    MM
2023 11 15 02 12 350  1.5  2.1    MM    MM    MM  MM 1027.6   9.4  13.6    MM   MM   MM    MM
2023 11 15 02 06 350  1.5  1.5    MM    MM    MM  MM 1027.7   9.5  13.6    MM   MM   MM    MM
2023 11 15 02 00 310  1.5  1.5    MM    MM    MM  MM 1027.7   9.5  13.6    MM   MM +1.2    MM
2023 11 15 01 54  MM  0.0  1.0    MM    MM    MM  MM 1027.6  10.0  13.6    MM   MM   MM    MM
2023 11 15 01 48 350  2.1  2.6    MM    MM    MM  MM 1027.5   9.9  13.5    MM   MM   MM    MM
2023 11 15 01 42 340  2.1  2.6    MM    MM    MM  MM 1027.5   9.3  13.5    MM   MM   MM    MM
2023 11 15 01 36 320  1.5  2.1    MM    MM    MM  MM 1027.6   9.7  13.5    MM   MM   MM    MM
2023 11 15 01 30 300  1.5  2.1    MM    MM    MM  MM 1027.7   9.8  13.5    MM   MM   MM    MM
2023 11 15 01 24 300  1.5  2.1    MM    MM    MM  MM 1027.6   9.5  13.5    MM   MM   MM    MM
2023 11 15 01 18 330  1.5  2.1    MM    MM    MM  MM 1027.6   9.7  13.5    MM   MM   MM    MM
2023 11 15 01 12 330  1.5  2.1    MM    MM    MM  MM 1027.6   9.5  13.5    MM   MM   MM    MM
2023 11 15 01 06 310  2.1  2.6    MM    MM    MM  MM 1027.4   9.7  13.5    MM   MM   MM    MM
2023 11 15 01 00 310  2.6  3.1    MM    MM    MM  MM 1027.3   9.8  13.5    MM   MM +1.5    MM
2023 11 15 00 54 320  2.1  2.6    MM    MM    MM  MM 1027.3  10.0  13.5    MM   MM   MM    MM
2023 11 15 00 48 330  2.6  3.1    MM    MM    MM  MM 1027.3  10.4  13.5    MM   MM   MM    MM
2023 11 15 00 42 330  2.6  2.6    MM    MM    MM  MM 1027.3  10.1  13.5    MM   MM   MM    MM
2023 11 15 00 36 330  2.6  3.1    MM    MM    MM  MM 1027.3  10.9  13.5    MM   MM   MM    MM
2023 11 15 00 30 340  3.1  3.6    MM    MM    MM  MM 1027.2  11.0  13.5    MM   MM   MM    MM
